r,u,p,c,1,t,t,b,r
p,u,p,c,1,t,t,b,p
n,u,p,c,1,t,t,b,n
r,u,p,c,1,t,t,s,r
p,u,p,c,1,t,t,s,p
n,u,p,c,1,t,t,s,n
p,u,p,c,1,t,t,p,r
p,u,p,c,1,t,t,p,p
n,u,p,c,1,t,t,p,n
v,u,p,c,1,t,i,b,r
p,u,p,c,1,t,i,b,p
n,u,p,c,1,t,i,b,n
v,u,p,c,1,t,i,s,r
p,u,p,c,1,t,i,s,p
n,u,p,c,1,t,i,s,n
p,u,p,c,1,t,i,p,r
p,u,p,c,1,t,i,p,p
n,u,p,c,1,t,i,p,n
v,u,p,c,1,l,t,b,r
p,u,p,c,1,l,t,b,p
n,u,p,c,1,l,t,b,n
v,u,p,c,1,l,t,s,r
p,u,p,c,1,l,t,s,p
n,u,p,c,1,l,t,s,n
p,u,p,c,1,l,t,p,r
p,u,p,c,1,l,t,p,p
n,u,p,c,1,l,t,p,n
v,u,p,c,1,l,i,b,r
p,u,p,c,1,l,i,b,p
n,u,p,c,1,l,i,b,n
v,u,p,c,1,l,i,s,r
p,u,p,c,1,l,i,s,p
n,u,p,c,1,l,i,s,n
p,u,p,c,1,l,i,p,r
p,u,p,c,1,l,i,p,p
n,u,p,c,1,l,i,p,n
v,u,p,c,1,c,t,b,r
p,u,p,c,1,c,t,b,p
n,u,p,c,1,c,t,b,n
v,u,p,c,1,c,t,s,r
p,u,p,c,1,c,t,s,p
n,u,p,c,1,c,t,s,n
p,u,p,c,1,c,t,p,r
p,u,p,c,1,c,t,p,p
n,u,p,c,1,c,t,p,n
v,u,p,c,1,c,i,b,r
p,u,p,c,1,c,i,b,p
n,u,p,c,1,c,i,b,n
v,u,p,c,1,c,i,s,r
p,u,p,c,1,c,i,s,p
n,u,p,c,1,c,i,s,n
p,u,p,c,1,c,i,p,r
p,u,p,c,1,c,i,p,p
n,u,p,c,1,c,i,p,n
v,u,p,c,2,t,t,b,r
p,u,p,c,2,t,t,b,p
n,u,p,c,2,t,t,b,n
v,u,p,c,2,t,t,s,r
p,u,p,c,2,t,t,s,p
n,u,p,c,2,t,t,s,n
p,u,p,c,2,t,t,p,r
p,u,p,c,2,t,t,p,p
n,u,p,c,2,t,t,p,n
v,u,p,c,2,t,i,b,r
p,u,p,c,2,t,i,b,p
n,u,p,c,2,t,i,b,n
v,u,p,c,2,t,i,s,r
p,u,p,c,2,t,i,s,p
n,u,p,c,2,t,i,s,n
p,u,p,c,2,t,i,p,r
p,u,p,c,2,t,i,p,p
n,u,p,c,2,t,i,p,n
v,u,p,c,2,l,t,b,r
p,u,p,c,2,l,t,b,p
n,u,p,c,2,l,t,b,n
v,u,p,c,2,l,t,s,r
p,u,p,c,2,l,t,s,p
n,u,p,c,2,l,t,s,n
p,u,p,c,2,l,t,p,r
p,u,p,c,2,l,t,p,p
n,u,p,c,2,l,t,p,n
v,u,p,c,2,l,i,b,r
p,u,p,c,2,l,i,b,p
n,u,p,c,2,l,i,b,n
v,u,p,c,2,l,i,s,r
p,u,p,c,2,l,i,s,p
n,u,p,c,2,l,i,s,n
p,u,p,c,2,l,i,p,r
p,u,p,c,2,l,i,p,p
n,u,p,c,2,l,i,p,n
p,u,p,c,2,c,t,b,r
p,u,p,c,2,c,t,b,p
n,u,p,c,2,c,t,b,n
p,u,p,c,2,c,t,s,r
p,u,p,c,2,c,t,s,p
n,u,p,c,2,c,t,s,n
p,u,p,c,2,c,t,p,r
p,u,p,c,2,c,t,p,p
